Timestamp,Name your favorite thing to do in the snow.,Name another name for Santa.,Name a strange place to see someone dressed up as Santa.,It’s not Christmas until I watch:,Name one of Santa’s reindeer that you would like to spend time with.,Name something Santa would like for Christmas.,Name the worst present to open on Christmas day.,Name Santa’s favorite cookie.,Name Santa’s second favorite snack (after cookies and milk),Name one of Santa’s reindeer that might be called the class clown.,Name a part of Santa’s suit.,Name a word that has the word “snow” in it.,Name someone you would buy a Christmas gift for.,When do you start decorating for Christmas?,Name a song Santa might use for his ringtone.,Name a type of music Santa might listen to on Christmas night while he delivers gifts.,Name an image you might find on Christmas wrapping paper.,Name a gift from “the twelve days of Christmas.”,Name something you need for wrapping gifts.,Name something Santa might do to disguise himself.,Name the most difficult present to wrap.,Name a popular Christmas Eve tradition.,Name something on every mom’s Christmas list.,Name something you might start doing on December 1?,Name a job that might require someone to work on Christmas day.,Name a way to greet someone at Christmas.,Name something you might smell at Christmas.,How many weeks before Christmas should you send out your Christmas cards?,What is your favorite thing to do on Christmas day?,Name a place that might be open on Christmas day.,Name something that should be at every Christmas party.,Name a piece of the nativity set.,Name something you can find at the North Pole.,Name someone Santa might invite to his birthday party.,"After delivering presents on Christmas, Santa probably:",Name the hardest person to buy a Christmas present for.,Name something Santa might brag about.,Name something you might decorate at Christmas.,Name something Mrs. Claus might leave the North Pole to escape from.,Name someone who was at the first Christmas in Bethlehem.,Name a song a group of carolers might sing.,Name a popular Christmas dessert.,Name a Christmas story parents might read to their kids.,Name something that is red and white.,Name some activities you might do if you ever went on a date with Santa.,"If Santa drove his sleigh on the freeway, name something he might be pulled over for.",Name something you might leave out on Christmas Eve.,Santa wouldn’t be able to work next year if he found he was allergic to:,"If Santa was back in the dating scene, name something he would need to update.",Name something people complain about at Christmas.,Name something people do the day after Christmas.,Name a holiday song you are tired of by Christmas.,We all know the Grinch stole Christmas. Name another holiday he might want to steal.,Name something you put on the Christmas tree.,Name something Mrs. Claus might do while Santa is delivering gifts.,Name something to put in your hot chocolate.,Name a place you might hide Christmas gifts.,"If Santa caught the flu, who would deliver the Christmas gifts?",Name a candy that is mostly available at Christmas time.,It’s officially Christmas season when…
11/8/2023 6:17:00,Build a snowman,Saint nick,Haunted house,The grinch,Rudolph,A vacation,Underwear,Sugar cookie,Carrot,Rudolph,Boots,Snowflake,My mom,The day after thanksgiving,Jingle bells,Christmas music,A present ,Diamond ring,Tape,Shave,A bike,Open 1 present,Socks,Decorate,A doctor,Merry christmas,Pine,2 weeks,Be with family,Gas station,Mistletoe,Jesus,Hot cocoa,Rudolph,Takes a nap,Your friend,How many presents he delivered,A tree,The elves,Mary,Jingle bells,Apple pie,The grinch,Candy cane,Bake cookies,Speeding,Cookies,Reindeer,His weight,The cold,Take back presents,Baby its cold outside,Halloween,Bulbs,Napping,Marshmallows,Your closet,The elves,Candy cane,It snows
11/8/2023 6:51:33,Sit,St nick,Halloween ,Elf,Donner,Peace,A promise,Sugar ,Cocoa,Dancer,Belt,Snow globe,Parents,End of Nov ,Santa baby,Hard rock,Snowman,Lords a leaping,Tape,Lose weight,Bike,Pajamas ,Sleep,Cooking holiday treats,TSA ,Wave,Cinnamon,2,Watch others be happy ,Restaurant ,Sparkling cider,Baby,Houses,Tooth fairy,Sleeps,In-laws ,Speed,Cookies,People,Mary,We wish you a merry Christmas ,Yule log,‘‘Twas the night before Christmas ,Candy cane,Dessert tasting,Reckless driving,Carrots,Altitude changes,Beard,Crowds,Sleep,All I want for Christmas- Mariah Carey ,Valentines ,Lights,Sleep,Whipping cream ,Closet,Mrs santa,Candy canes,Christmas music starts
11/8/2023 7:07:22,Sled ,Chris cringle ,Jail ,A Christmas Story,Rudolf ,Slippers,Underwear ,Sugar cookies,Popcorn ,Blitzen ,His hat,Snowball,Spouse,After thanksgiving ,Jingle bells ,Christmas songs,Santa,5 golden rings,Tape,Shave his beard ,A ball,Opening one gift,Time alone,Listening to Christmas music,Police,Merry Christmas! ,Fresh cut Christmas trees,3,Nap,McDonald’s ,Good,Manger,Snow,Elfs ,Sleeps,Parents,How fast his sleigh is ,Tree,The cold,Mary,We Wish You a Merry Christmas ,Sugar cookies ,The night before Christmas ,Santa’s suit,Ice skate,Speeding ,Cookies and milk,Reindeer ,Wardrobe ,Family,Take the decorations down,Mariah Carey’s All I want for Christmas ,Easter,Ornaments ,Watch her own tv shows,Marshmallows ,Under the bed,The elf’s,Candy Canes,Thanksgiving is over
11/8/2023 11:39:23,Snow Angel,St Nick,Beach,Die Hard,Dancer,A nap,Socks ,Snicker doodles ,Beef jerky,Vixen,Black belt,Snowball,Parents,Day after Thanksgiving,Run run Rudolph ,Rock,Snowmam,5 Golden rings,Tape,Shave,Ball,Open one gift,Extra help,Shopping,Alarm monitoring center,Feliz navidad,Cinnamon,3,Drink coffee and watch gifts be opened,Chinese restaurant ,Mistletoe,Baby Jesus,The North Pole,Rudolph,Soaks in the hot tub,Teenagers,All the places he's visited,Tree,Elves ,Mother Mary ,Joy to the world,Fruit jello ,Twas the night before Christmas,Candy Cane,Make toys ,Speeding,Carrots for the Reindeer,Cookies,His beard,Money,Take the tree down,"None, I love Christmas music",Valentine's Day,Star,Get a massage,Baileys,Attic,Mrs claus,Chocolate oranges,It snows
11/8/2023 12:12:31,Build a fort,Saint Nicholas ,Gas station,Elf ,Vixen,A massage,Underwear,Snickerdoodle,Beef jerky,Blitzen,Hat,Snowball,Sister,December 13,Jingle bells,Oldies,Presents,5 Golden rings,Tape,Shave his beard,Bike,Reading the night before Christmas,Peace and quiet,Playing Christmas music,Doctor,Happy holidays,Cinnamon,3,Watch my kids open presents,Urgent care,Jell-O ,Donkey,Buddy the elf,Snoop Dogg,Takes a nap,Myself,How fast he drives,House,The elves,Mary,Silent night,Fruit cake,The nativity ,Candy Cane,Bowling,Only one headlight,Carrots,Cookies,Wardrobe,No parking,Return gifts,Last Christmas,Easter,Lights,Sleep,Marshmallows,Amazon boxes,Mrs Claus,Chocolate oranges,Thanksgiving is over
11/8/2023 12:58:00,Sled,St. Nick,Jail,A Christmas story,Rudolph,New sled,Underwear ,Chocolate chip ,Egg nog,Comet,Hat,Snowman,Parents,After thanksgiving ,Jingle Bells,Christmas music,Santa,Five golden rings,Tape,Change clothes,Car,New pajamas,A vacation ,Countdown to christmas,Grocery store,Merry Christmas,Pine trees,4 weeks,Open presents ,Hospital,Christmas music,Jesus,Santa,Frosty the snowman,Sleeps,Dad,Knowing who’s naughty and nice,Tree,Cold,Shepherds,Silent Night,Fruitcake ,The night before Christmas ,Candy cane,Sledding,Flying,Cookies,Snow,His beard,Money,Relax,Jingle bells,Valentine’s Day ,Ornaments,Make breakfast,Marshmallows,Closet,Mrs. Claus,Candy canes,It snows
11/8/2023 15:47:25,Sled,Old St. Nick,church,It's a Wonderful Life,Dancer,New headphones,Clothes (any kind),Beggers can't be choosers,Carrots,Donner,Hat,Snowglobe,Spouse,Any time after Halloween,Margaritaville,Top 40,Santa,5 golden rings,tape,Sunglasses and a hawaiian shirt,Bike,Watching a Christmas Movie,A treat for herself,Listen to Christmas Music,Nurse,Ho ho ho!,cinnamon,6-8,Eat!,Chinese Resturaunt,Egg Nog,christ Child,Snow,The Elves,Relaxes by the fire,you mother in law,fastest he's ever delivered everything,The front yard,rabid elves,Shepard boy,God Rest Ye Merry Gentleman,Sugar Cookies,Twas the Night Before christmas,Candy cane,Bake cookies,Flying without a license,cookies and milk,Flour,HIs grooming,Decorations being put up too early,Return stuff,All of them,Halloween,star,Take a hot bath,marshmallows,Garage,Mrs. Claus,Danish cookies,I start buying presents
11/8/2023 16:38:45,Snow Angels ,St Nick,Spa,Elf,Comet,Heated seats,Bras,Oreo,Hot chocolate ,Donor,Boots,Snowball,Partner,The Sunday before Christmas ,Jingle Bells,Techno,Ornaments ,5 golden rings,Tape,Loose weight,Clothes,Bible reading,Chocolate ,Countdown,Emergency services ,Merry Christmas ,Cinnamon ,Two days after,Build legos,Chinese Food place,Cheese pizza,Sheep,Northern Lights,Easter Bunny,Sleeps in,Brother,Sleigh Speed,The fireplace ,Fiji,Mary,Noel,Ginger Bread,Elf,Candy cane,"Build toys, hot chocolate, sleigh ride.",Failure to secure load,Carrots,Lithium ion batteries ,Grooming (bread),Cold,Tidy up,Christmas Shoes,New Years ,Lights,Watch a movie,Whipped Cream,Car trunk,Jeff Besos / Amazon,Fancy popcorn ,Ski resorts open
11/8/2023 19:57:11,Make Snowman,Kris kringle,Beach,Christmas story,Rudolph,Peace,Underwear,Chocolate chip,Fudge,Prancer,Boots,Snowball,Husband,After Thanksgiving ,Jingle Bells,Country,Reindeer,5 golden rings,Tape,Wear hawaiian shirt,Racket,Dinner,Jewlery,Decorating , Nurse,Caroling,Pine,4 weeks,Open presents,Church,Food,Stable,Elves,Easter bunny,Sleeps,Husband,Delivery presents ,Tree,Elves,Joseph,We wish you a merry christmas,Pumpkin pie,The night before christmas,Santa suit,Movie,Speeding,Cookies,Cookies,His profile,Crowds,Take down decorations ,None,Easter,Star,Cook,Marshmellows,Garage,Rudolph,Candy cane,It snows
11/8/2023 21:53:04,Sled,St Nicholas,,Elf,Rudolph,A beach vacation ,An appliance ,Sugar cookie,Pie,Comet,Jacket,Snowball,Husband,The day after thanksgiving ,,Motown ,Snowman ,Five golden rings,Tape,Shave his beard ,Ball,Getting/giving Xmas Pajamas,A break,Putting up the tree,Police officer ,Merry Christmas ,Peppermint/ candy cane,2 weeks ,Be with family ,Gas station ,Hot chocolate ,Angel,Elves ,Elves,Goes to sleep,Husband,How fast he is ,Tree,She’s tired of keeping Santa fed,Shepherd ,We wish you a merry Christmas ,Pie,,Santa’s suit,Make cookies ,Items falling out of the sleigh ,Cookies,Reindeer ,His outfit,Too busy,Shop,All I want for Xmas,Easter,Star,Binge watch Netflix ,Marshmallows ,Closet,The Elves,Chocolate Orange,Christmas Day ends
11/9/2023 5:10:14,Snowman,Kris kringle,,Miracle on 31st street,Roudolf,Me suit,Vacuum ,Chocochip,Cake,Comet,Belt,Snow man,Spouse,Dsy after Thanksgiving,Here comes santa clause,Hip hop,Santa,5 golden rings,Wrapping paper,Loose weight,Ball,Watching nativity story,Earings,Advent calendar,Nurse,Merry Christmas,Cinnamon ,3,Be with family,Walgreens,Food,Manger,Sleigh,Jack frost,Sleeps,Suppose,Weight,Tree,Elves,Mary,Wish you a merry Christmas,Pie,Twas the night before christmas,Csndy cane,Hot chocolate bar,Too fast,Cookies,Dust,Facebook ,Spend too much,Return presents,All i want for Christmas is you,Easter,Ornament,Party with her friends ,Marshmallows ,Closet,Mrs clause,Csndy cane,Thanksgiving is over
11/9/2023 5:10:23,Sled,Kris Kringle,At work,It’s a wonderful life,Rudolf,A night off,A robe,Sugar,Candy cane,Rudolf,Hat,Snowplow,Kids,After Halloween ,Santa Claus is coming to town,Rock N roll,Santa,Five Gold Rings,Tape,Shave his beard,Bike,Reading the Christmas story,A robe,Avoid the malls,Nurse,Merry Christmas ,Pine tree,2,Sleep,Denny’s,Cheese ball ,Baby Jesus,Ice,Frosty the snowman,Takes a hot shower ,My wife ,How many gifts he delivered ,Tree,A Caribbean cruise,Shepherds,The first Noel,Fruit cake,The Grinch who stole Christmas ,Candy cane,Feel his beard ,Speeding,Carrot,Reindeer,Lose weight,The music,Return gifts,Jingle bells,Thanksgiving ,Ornaments ,Bake,Marshmallow ,Under the bed,Mrs Claus,Candy cane,Thanksgiving is over
11/9/2023 5:34:28,Sleigh ride,,Hawaiian islands?,,,,,Chocolate chip,Carrots,,,Snow globe,,Thanksgiving,,,Reindeer,"10 lords, of leaping",,,,New pajamas,,Wrapping Christmas presents,Nurse,Happy holidays,Pine tree,,Be with my family,,Pies,Baby Jesus,,The Easter bunny,,My husband,How fast is reindeer are,Tree,Cold,,We Wish You a Merry Christmas,,,,,,,Snow,,Money,,"Baby, It’s Cold Outside",Halloween ,Tinsel,,,The attic,Amazon,,Day after Thanksgiving
11/9/2023 11:47:44,Sledding ,Kris kringle ,Synagogue ,A Christmas story,Comet,More kids on nice list,Fruit cake,Chocolate  chip,Egg nog,Dancer,Hat,Snowman,Spouse,After Thanksgiving ,Who can it be now,Classic rock,Holly,Turtle doves,Tape,Loose the red suit,Bottle,Leaving cookies for santa,Family in town,Hanging Christmas lights,Police officer,Merry christmas,Pine,4,Spend time with family,Chinese restaurants ,Egg nog,Baby jesus,Elfs,Frosty the snow man,Sleeps,Mom,Being the fastest traveler,Tree,Snow,Mary,Jingle bells,Fudge,The night before Christmas ,Candy cane,Fly around the world,No blinkers,Cookies and milk,Cinnamon ,Diet,Expense,Clean,,Valentines day,Lights,Clean,Marshmallows ,In the attic,Elves,Fudge,Thanksgiving dinner is over
11/9/2023 14:52:18,Make snow angels,Kris Kringle,Hawaii,It’s A Wonderful Life ,Rudolph,Golf trip,Fruitcake,Sugar ,Eggnog,Cupid,Belt buckle,Snowflake,Parents,The day after Thanksgiving,Have a Holly Jolly Christmas,Christmas,Christmas trees,Five Golden Rings.,Scotch tape,take off his Santa suit,Snow shovel,Open one present which is always new pajamas,New clothes,Gift wrapping,Nurses,Merry Christmas,Pine tree,Two,Visit the grandchildren to see what Santa brought,Gas station,Mistletoe,Baby Jesus,Snow,The Elves,Soaks in the tub,Parents,How quickly he gets his work done on Christmas Eve,The fireplace mantle,Christmas Eve,Shepherds,We wish you a merry Christmas,Sugar cookies,It was the night before Christmas,Candy cane,Learn how to fly the sleigh,Speeding,Cookies and milk for Santa,Pine trees,His wardrobe,How much everything costs,Go skiing,12 days of Christmas,Easter,Lights,Take a bubble bath,Marshmallows,Trunk of the car,Mrs. Clause,Peppermint,Thanksgiving dishes are done
11/9/2023 18:25:35,Sled,Father Christmas,Strip club,The Grinch,Rudolph ,A break,Underwear,Sugar cookies,Potato chips,Dancer,Belt,Snowman,Mom,After Thanksgiving ,Jolly Old St. Nicholas,Heavy Metal,Snowflakes,5 gold rings,Tape,Shave,Ball,New Pajamas ,Wine,Listening to christmas music,Police officer,Happy Holidays,Pine trees ,2,Visit family,Hospital,Cookies,Donkey,Snow,The Easter Bunny,Sleeps,Parents,His sleigh,The mantle,Santa,Mary,Jingle Bella,Fruit cake,Twas the Night Before Christmas,Candy cane,Ice skate,Speeding,Milk and cookies,Mistletoe,His wardrobe,Expenses,Clean up,All I want for christmas is you,Thanksgiving,Tinsel,Bake cookies,Marshmallows,Under the bed,The elves,Candy canes,School is out
11/9/2023 22:17:06,Snow angels,Kris kringle,Gas station,,,Sleep,,Gingerbread,Carrots,,Hat,Snowball,,,,FM100,,,,Cut off beard,,Pajamas,,Wrapping oresents,Gas station,,Pine tree,3,Open oresents,,,Jesus,,,,Dad,Flying sled,Tree,,,Hark the herald angels sing,Sugar cookies,Night before christmas,,Sledding ,,Santa gift,,,,,Christmas shoes,,Star,Sleep,,,,,Thanksgiving feast is over 
11/9/2023 22:37:06,Build snowman ,Father Christmas ,Strip bar,It’s a wonderful life,Cupid,Spa day,A tie,Sugar,Chocolate ,Donner ,Belt,Snowflake,Children,Thanksgiving evening ,Have a holly jolly Christmas ,Rock n Roll,Bells,5 golden rings ,Paper,Shave,Doll house ,Family PJs,Jewelry ,Advent calendar ,Grocery store,Merry Christmas ,Trees,3,Spend time with family,Hospital ,Booze,Jesus ,Elves,Rudolph ,Sleeps,Mom,How fast he flys,House ,Noise,Mary,Silent Night,Pecan pie,The Polar Express , Candy cane,Ice skate,Distracted driving ,Milk,Snow,His hair style,Bills,Return gifts,Grandma got ran over by a reindeer ,Valentines Day,Star,Take a bath,Marshmallows,Closet ,Buddy the Elf,Candy canes,It snows
11/10/2023 8:24:31,Throw it,St. Nick ,McDonalds ,Home alone ,Comet ,Cookies,Socks,Chocolate chip ,Candy canes ,Rudolph ,Belt ,Snowflake ,My mom ,After thanksgiving ,I want a hippopotamus for Christmas ,Christmas music ,Reindeer ,5 golden rings ,Tape,Shave his beard ,Candle ,Going to church ,Peace & quiet ,Decorating ,Er doctor ,Merry Christmas ,Pies,4 weeks,Eat food ,Hospital ,Wine,The manger ,Elf’s ,The Easter bunny ,Sleeps ,Boyfriend ,Going down chimneys ,My house ,The Cold,Jesus ,Silent night ,Pie ,‘Twas the night before Christmas ,Santa’s hat ,Tell him everything I like ,Cops,Cookies & milk ,His reindeer ,His clothes ,Stress ,Eat leftovers ,All I want for Christmas ,Thanksgiving ,Angel,Bake,Marshmallows,Closet ,The elf’s ,Candy canes ,Halloween is over 
11/10/2023 15:15:22,"No Snow, No Problem!",St Nick,Bathroom,ELF,Cupid,new car,underwear,Sugar cookie,Brownies,Blitzen,Hat,Snowball,Mom,December 1,Grandma got ran over by a raindeer,Rock music,angles,two turtle doves,Tape,not wear red and white,Bike,Cookies and Milk for Santa,Wine/Sanity,Decorations,Police,Season's Greetings,Gingerbread,4,Spend time with family,Hospital,Chocolate,Star,Elves,Mrs.Claus,sleeps,Your boss,Milage/speed,Windows,Yeti,Jesus,O Holy Night,Pie,Luke II (bible),Wine,Fly in the sled,not using signal lights,Stocking,fur,Age,Same music,Eat leftovers,All I want for Christmas is you,St Pat Day,Star,Eat left over candy,Marshmallows ,Closet,Mrs Claus,Chocolate Oranges (Teri's),Thanksgiving ends
11/10/2023 19:58:25,,,Halloween ,,,,,Oreos ,Hot cocoa ,,Belt ,,,,,Christmas music ,,5 golden rings ,Tape,,A ball ,,,,Doctor ,,,4,,,Ugly sweaters ,Manger,Snow ,,,,His wife ,Cookies ,The elves ,Mary ,,,Night before Christmas ,Candy cane ,,,Cookies ,,His outfit ,People ,,,Valentines ,,,Marshmallows ,Closet ,,,Thanksgiving is over 
11/11/2023 18:32:49,Snowball fight,Kris kringle,Beach ,Home alone,Blitzen,Sleep ,Clothes,Chocolate chip ,Egg nog and antacid ,Comet ,Hat,Snowman ,Wife ,Day after Thanksgiving ,Carol of the Bells,Rock n roll,Snowman,Golden rings ,Tape,Camouflage ,Kids toys ,Pajamas ,Sleep,Shopping ,Nurse ,Happy festivus,Pine cones ,2,Sledding ,Chinese restaurant ,Egg nog,Manger,Snow ,Weird Al,I need a nap,Wife ,How many cookies he ate,Cookies,Spa night ,Joesph,Silent night ,Fudge ,Night before Christmas ,Candy cane ,Sleigh ride,Drunk driving,My sanity ,Hot chocolate ,Dating profile ,Commercialism ,Return gifts ,All of them,Easter,Star,Spa night,Peppermint ,Trunk of car,Mrs clause,Cookies,Thanksgiving is over
11/12/2023 7:03:10,Snow Angels ,St. Nicholas,Hawaii ,The Grinch,Dasher,More Christmas Cheer,A Christmas decoration,Snickerdoodle ,Hot cocoa,Dasher,Belt buckle,Snowball,Wife,After Thanksgiving ,Jingle Bells,Christmas music,Snowflake,Five golden rings,Tape,Sunglasses ,A Ball,Dinner,Jewelry ,Christmas Shopping,Doctor,Merry Christmas,Peppermint ,Three,Watch grandkids open presents,Wal-Mart,Music,Manger,Elves,Reindeer,Sleeps,Grandma,The number of houses visited,Christmas tree,The Cold,The Shepherd Boy,O Holy Night,Peppermint Ice Cream,The Nativity Story,Waldo’s shirt and hat,Drink Hot Cocoa ,Speeding,Cookies,Cookie Dough,Wardrobe,Christmas Shoppers,Take down decorations ,Jingle bells ,Haloween,Ornaments,Watch TV,Marshmello,Closet,Mrs Clause,Peppermint sticks,Thanksgiving is over
11/12/2023 20:28:02,Sledding ,Father Christmas ,The office ,Elf ,Dancer,A nap ,Underwear ,Chocolate chip ,Candy cane ,Commet ,Boots ,Snowman ,Kids ,Day after Thanksgiving ,Jingle bells ,Christmas carols ,Snowflake ,5 Golden Rings ,Tape ,Change clothes,Ball ,Open one gift ,A nap,Shopping ,Fireman ,Merry Christmas ,Cinnamon ,Two ,Be with family ,Hospital ,Food ,Manger,Toys,Elves,Sleeps ,Dad,Mrs Clause ,Tree,Elves,Jesus,The first Noel ,Cookies,Nativity story ,Candy cane ,Build a snowman ,No seatbelt ,Cookies and milk ,Pine trees ,Age ,Money,Sleep ,Grandma Got Ran Over By A Reindeer ,Easter,Star,Bake ,Marshmallows ,Attic,Mrs Clause ,Chocolate orange ,The tree is up 
11/15/2023 6:28:27,Make snow angels,Kris Kringle,A bar,Elf,Blitzen,A nice recliner,Ugly clothes,Chocolate chip,Gingerbread,Prancer,Belt,Snowball,Your Mom,December 1st,Jingle Bells,Country ,Snowflakes,5 Gold Rings,Scissors ,Dye his hair/beard,A basketball,Opening pjs,Peace and Quiet,Decorating your tree,Firefighter,Merry Christmas ,Cinnamon ,4 weeks,Be with family,Denny's ,Snacks,Baby Jesus,Elves,Rudolf,Sleeps,My best friend,Record delivery times,Front door,Santa's snoring,Sheperds,Carol's of the Bells,Eggnog icecream,Twas the Night before Christmas ,Santa's hat,Ask about his work,Swerving,Carrots for reindeer,Gluten,His age,Busy stores,Lounge,Feliz Navidad,Valentine's ,A Star,Take a bath,Whip Cream ,Closet,Mrs. Claus,Reese's Christmas Trees,You start watching Chistmas movies
11/15/2023 8:07:18,Build snowman ,St Nick ,Cemetery ,Christmas vacation ,Dancer,A recliner ,Coal,Chocolate chip,Pudding ,Comet ,Hat,Snowblower,Kids ,After thanksgiving ,Jingle bells,Rock,Hollly,5 golden rings ,Paper,Shave his beard ,Car,Singing carols ,Slippers,Shopping ,Nurse,Merry Christmas ,Cinnamon ,3,Be with family,Grocery store,Food,Baby Jesus ,Elves,Elves ,Rests,Husband ,Being jolly,Tree,Elves,Mary,Silent night ,Cookies,The Night Before Christmas ,Candy cane ,Building toys ,Going too fast ,Cookies and milk ,Gluten,His Facebook profile ,Not enough money ,Clean up,Hey Santa ,Easter ,Ornament ,Take a nap,Marshmallows ,Under bed,Mrs Clause ,Candy cane ,Thanksgiving ends 
11/19/2023 8:49:05,Snow angels,Saint Nick,At the beach,Elf,Rudolph,Time off,Coal,Sugar,Cocoa,Prancer,Hat,Snowflake,Child,After Thanksgiving,Santa Claus is Coming to Town,Rock,Snowmen,5 golden rings,Tape,Wear blue,Bike,Drinking hot chocolate,A nap,Listening to Christmas music,Airport,Happy Holidays,Pine,3,Relax,McDonald's,Food ,Camel,Snow,His reindeer ,Takes a long nap,Parents,How much he can get done,Tree,The elves,Joseph,We Wish You a Merry Christmas ,Figgy pudding,The nativity,Candy cane,Drink cocoa,No seatbelt,Cookies,Pine,His beard,Crowds,Take down the decorations ,Christmas Shoes ,Valentines,Candy cane ,Clean,Marshmallows ,Back of the closet,The Elves,Chocolate orange,It snows
11/19/2023 15:24:13,Sled,Kris kringle,Bar,National lampoons Christmas vacation ,Vixen,Weight watchers ,Gift card,Sugar cookie,Chocolate ,Prancer,Belt,Snowflake ,Mother,Day after thanksgiving ,Here comes Santa clause,Country ,Reindeer,Turtle doves ,Tape,Shave his beard ,Car,Putting out cookies and milk for Santa ,Clothing,Listening to Christmas music ,"Service station (maverick, flying j)",Hi,Cinnamon ,3,Sleep,Gas station,Eggnog,Oxen,Snow,Rudolph,Sleeps,Father,His belly,Cookies,Elves ,Mary,Silent night ,Sugar cookies,‘‘Twas the night before Christmas ,Wrapping paper,Riding reindeer,Speeding ,Cookies,Milk,His body ,Crowds,Return gifts ,All I want for Christmas is you ,4th of July ,Ornaments ,Get a massage,Marshmallows ,Closet,Mrs clause ,Chocolate orange ,Thanksgiving dinner is out away and cleaned up 
11/19/2023 17:48:29,Build a snowman ,Mr. Clause,Bathroom ,Home alone,Dancer,Spirit,A rock,Chocolate chip ,Candy cane,Rudolf ,Belt,Snowman,Bestie,After thanksgiving ,Jingle bell rock,Rock,Candy cane,turtle doves,Tape,Pose like a decoration,Father,Matching pjs,A clean house ,Buying gifts,Doctor ,Merry Christmas ,Cinnamon ,2,Open gifts,Hospital ,Cookies,Jesus ,Santa,Elf,Eats,Your father,How fast he delivered ,Tree,Santa,Jesus ,We wish you a merry Christmas ,Sugar cookies ,The night before Christmas ,Candy cane,Shopping ,Stealing ,Gifts,People ,Age,Weather ,Cleanup,Little drummer boy,Thanksgiving ,Ornaments,Sleep,Marshmallows,Basement ,Miss Clause ,Candy cane,The cold weather comes in
11/21/2023 11:13:36,,,,,,,,,,,,,,,Here comes Santa Claus ,,Santa,,Tape,,,Reading ‘the night before Christmas’,,,,,Herbs,,,,,,,,,,,,,,,,,,,,,,His attire ,,,,,,,Candy cane ,,,,
11/21/2023 11:22:58,,,,The grinch,Dixon ,A year off ,Vacuum ,,Vodka ,Donnor,,Snowball ,Kids ,After thanksgiving ,,80s rock ,Snowman ,Pear tree,,,Ball,Mass,Peace and quiet ,,Nurse ,Merry Christmas ,,2,,Maverick ,Fun ,Donkey ,Elf,,,,,House,Chaos ,Mary ,Deck the halls,,The night before Christmas ,Santa’s suit ,Sledding ,Improper signal ,Reindeer food,,His dad bod,Crowds ,Return gifts ,All I want for Christmas is you. ,Easter ,Tinsil,,,Trunk of car ,Mrs clause ,Candy canes ,It snows 
11/21/2023 11:28:00,Sled,Old saint nick,Grocery store,Elf,Comet,Spa gift certificate,Underwear,Gingerbread,Candy canes ,Vixen,Hat,Snowball,Mom,Thanksgiving night,Jingle bells,Mannheim steam roller,Santa,Partridge in a pear tree,Tape,Wear a different outfit,Anything round,Open one gift,Stocking stuffers,Watching Christmas movies on TV,Airline,Happy holidays,Evergreen tree,3,Watch movies,Chinese restaurant,Food,Baby Jesus ,Snow,The tooth fairy,Takes a nap,Dad,His weight,Tree,Cold,Mary,Deck the halls ,Pumpkin pie,‘‘Twas the night before christmas,Candy cane,Play with reindeer ,Speeding,Cookies and milk,Cookies,Age,Crowded parking lots,Shop sales ,Rudolf the red nose reindeer ,Easter,Star,Read a book,Marshmallows ,Under the bed,Mrs claus,Candy cane,6pm on Thanksgiving
11/21/2023 11:28:22,Snowman,Saint Nick,Driving down the road,Elf,Dancer,Peace on earth,Cleaning supplies ,Chocolate chip,Cheesecake,Blitzen,Hat,Snowflake ,Kids,After thanksgiving ,Here comes Santa claus,Rock,Santa,Turtle dove,Tape,Shave,Stuffed animals,Pajamas,Happy kids,Advent calendar ,Doctor ,Happy holidays,Pine,2,Open presents,Walmart,Gifts,Manger,Santa’s workshop,Frosty,Takes a nap,Siblings,Popularity,Tree,Cold,Jesus,We wish you a merry Christmas,Fruit cake,The night before Christmas,Candy cane,Look at Christmas lights,Speed,Cookies,Milk,His wardrobe,Crowds,Watch movies,Jingle bells,Valentine’s Day,Lights,Sleep,Marshmallow ,Closer,Elves,Fudge,After Halloween
11/21/2023 11:31:21,Build snowman,,,Elf,,Hand warmers,Underwear ,Sugar,Candy canes,Rudolph,Belt,Snowball,Daughter ,Weekend of Thanksgiving ,Jingle bells,Upbeat,,Partridge,Tape,Sunglasses ,,Open 1 present,,,Gas station ,Merry Christmas ,Pine ,2,Watch movies,7-11,Egg nog,Baby Jesus,Snow,Elf,Takes a nap,Husband,Speed,Tree,Snow,,Silent night ,Sugar cookies ,Birth of Jesus,Candy cane,Drink cocoa,Speeding ,Cookies,Pine,Clothes,,Shop,Last Christmas,,Ribbon ,,Nothing,,Elfs,Candy cane,Gets cold
11/21/2023 11:43:53,Snowboard,Mr. Clause,The bank,Rudolf the red nosed reindeer ,Vixen,Food,Underwear,Chocolate chip,Pizza,Prancer,Hat,Snowball,Kids,The week of Thanksgiving ,Rudolf the red nosed reindeer ,Holiday music,Christmas tree,Golden rings,Tape,Put his coat over his head,Soccer ball,Opening one gift,Jewelry ,Shopping,Lift Operator,Merry Christmas ,Christmas tree,2,Open presents,Hospital,Gifts,Baby Jesus ,Elves,The elves,Takes a nap,Teenagers,His beard ,Tree,The cold,Wisemen,We wish you a merry Christmas ,Pie,Frosty the snowman,Candy cane,Ride in the sleigh,Speeding,Cookies ,Reindeer ,His clothes,Family,Shop,Jingle bells,Birthday,Ornaments ,Cook,Marshmallows ,Closet,Mrs clause,Peppermint bark,Thanksgiving is over
